epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,23.4542,3.30969,5.52729,4.25032,0,0,0,0,3.38305,5.31873,4.17827,2.46022e-05,2.46022e-05,2.46022e-05
31,24.2197,2.81698,5.63284,4.20265,0,0,0,0,3.38198,5.31624,4.17833,2.50971e-05,2.50971e-05,2.50971e-05
32,24.937,2.8264,5.36983,4.21957,0,0,0,0,3.38198,5.31624,4.17833,2.55685e-05,2.55685e-05,2.55685e-05
33,25.7047,3.22659,5.3725,4.27599,0,0,0,0,3.38234,5.31729,4.17873,2.60163e-05,2.60163e-05,2.60163e-05
34,26.4434,3.38228,5.57672,4.2088,0,0,0,0,3.38234,5.31729,4.17873,2.64405e-05,2.64405e-05,2.64405e-05
35,28.0361,2.86561,5.37812,4.23458,0,0,0,0,3.38244,5.31665,4.17672,2.68412e-05,2.68412e-05,2.68412e-05
36,28.7912,3.03517,5.48244,4.19712,0,0,0,0,3.38244,5.31665,4.17672,2.72183e-05,2.72183e-05,2.72183e-05
37,29.6028,3.42611,5.44618,4.19226,0,0,0,0,3.37991,5.31246,4.17802,2.75718e-05,2.75718e-05,2.75718e-05
38,30.3392,2.9992,5.40097,4.21876,0,0,0,0,3.37991,5.31246,4.17802,2.79018e-05,2.79018e-05,2.79018e-05
39,31.1072,2.786,5.40546,4.25193,0,0,0,0,3.37769,5.31006,4.1772,2.82082e-05,2.82082e-05,2.82082e-05
40,31.8145,3.37275,5.7644,4.22607,0,0,0,0,3.37769,5.31006,4.1772,2.84911e-05,2.84911e-05,2.84911e-05
41,32.5899,2.95461,5.48159,4.21439,0,0,0,0,3.37669,5.31059,4.17743,2.87504e-05,2.87504e-05,2.87504e-05
42,33.2958,3.32185,5.6062,4.17003,0,0,0,0,3.37669,5.31059,4.17743,2.89861e-05,2.89861e-05,2.89861e-05
43,34.0454,2.97152,5.68776,4.15023,0,0,0,0,3.38007,5.31501,4.17695,2.91983e-05,2.91983e-05,2.91983e-05
44,34.7805,3.18933,5.29075,4.19552,0,0,0,0,3.38007,5.31501,4.17695,2.93869e-05,2.93869e-05,2.93869e-05
45,35.5419,2.86886,5.45445,4.2002,0,0,0,0,3.3858,5.31188,4.17633,2.9552e-05,2.9552e-05,2.9552e-05
46,36.2558,3.35153,5.84223,4.49592,0,0,0,0,3.3858,5.31188,4.17633,2.96935e-05,2.96935e-05,2.96935e-05
47,37.0638,3.55183,5.68435,4.24676,0,0,0,0,3.37289,5.31123,4.17828,2.98114e-05,2.98114e-05,2.98114e-05
48,37.8225,3.04715,5.4666,4.2362,0,0,0,0,3.37289,5.31123,4.17828,2.99058e-05,2.99058e-05,2.99058e-05
49,38.568,3.11011,5.50563,4.18253,0,0,0,0,3.3808,5.31149,4.17857,2.99766e-05,2.99766e-05,2.99766e-05
50,39.293,2.9501,5.33283,4.17638,0,0,0,0,3.3808,5.31149,4.17857,3.00238e-05,3.00238e-05,3.00238e-05
51,40.0809,3.15135,5.66324,4.21313,0,0,0,0,3.37846,5.31334,4.1766,3.00475e-05,3.00475e-05,3.00475e-05
52,40.8247,3.09854,5.35869,4.21452,0,0,0,0,3.37846,5.31334,4.1766,3.00476e-05,3.00476e-05,3.00476e-05
53,42.0922,3.36259,5.6148,4.23157,0,0,0,0,3.37846,5.31334,4.1766,3.00242e-05,3.00242e-05,3.00242e-05
54,42.8638,3.38044,5.42692,4.1841,0,0,0,0,3.36276,5.30626,4.17618,2.99772e-05,2.99772e-05,2.99772e-05
55,43.5823,3.32992,5.45294,4.18766,0,0,0,0,3.36276,5.30626,4.17618,2.99066e-05,2.99066e-05,2.99066e-05
56,44.3153,3.33748,5.4836,4.19519,0,0,0,0,3.36276,5.30626,4.17618,2.98125e-05,2.98125e-05,2.98125e-05
57,45.0978,2.84151,5.30377,4.19131,0,0,0,0,3.34797,5.3071,4.17522,2.96948e-05,2.96948e-05,2.96948e-05
58,45.8276,2.67552,5.66934,4.25303,0,0,0,0,3.34797,5.3071,4.17522,2.95535e-05,2.95535e-05,2.95535e-05
59,46.5942,3.56604,5.62199,4.27475,0,0,0,0,3.34797,5.3071,4.17522,2.93887e-05,2.93887e-05,2.93887e-05
60,47.3945,3.24,5.45555,4.1937,0,0,0,0,3.33901,5.30918,4.17416,2.92003e-05,2.92003e-05,2.92003e-05
61,48.1038,3.1353,5.48496,4.2266,0,0,0,0,3.33901,5.30918,4.17416,2.89884e-05,2.89884e-05,2.89884e-05
62,48.8434,2.96164,5.56692,4.18103,0,0,0,0,3.33901,5.30918,4.17416,2.87529e-05,2.87529e-05,2.87529e-05
63,49.5792,3.19385,5.40647,4.20826,0,0,0,0,3.32604,5.31035,4.17169,2.84938e-05,2.84938e-05,2.84938e-05
64,50.3165,3.30591,5.50866,4.18183,0,0,0,0,3.32604,5.31035,4.17169,2.82112e-05,2.82112e-05,2.82112e-05
65,51.0424,3.4954,5.53688,4.23319,0,0,0,0,3.32604,5.31035,4.17169,2.7905e-05,2.7905e-05,2.7905e-05
66,51.8182,3.33936,5.32588,4.20229,0,0,0,0,3.32495,5.31288,4.17074,2.75753e-05,2.75753e-05,2.75753e-05
67,52.5641,3.04537,5.40005,4.20411,0,0,0,0,3.32495,5.31288,4.17074,2.7222e-05,2.7222e-05,2.7222e-05
68,53.2785,3.70303,5.4667,4.19904,0,0,0,0,3.32495,5.31288,4.17074,2.68451e-05,2.68451e-05,2.68451e-05
69,54.0358,3.51945,5.62744,4.29364,0,0,0,0,3.31962,5.3128,4.16635,2.64447e-05,2.64447e-05,2.64447e-05
70,54.7818,3.10955,5.22034,4.31406,0,0,0,0,3.31962,5.3128,4.16635,2.60207e-05,2.60207e-05,2.60207e-05
71,55.9909,2.99435,5.6172,4.21642,0,0,0,0,3.31962,5.3128,4.16635,2.55731e-05,2.55731e-05,2.55731e-05
72,56.7606,3.20312,5.42584,4.21013,0,0,0,0,3.31111,5.31701,4.16572,2.5102e-05,2.5102e-05,2.5102e-05
73,57.4867,3.55861,5.41209,4.18346,0,0,0,0,3.31111,5.31701,4.16572,2.46073e-05,2.46073e-05,2.46073e-05
74,58.1884,3.73744,5.60078,4.23186,0,0,0,0,3.31111,5.31701,4.16572,2.40891e-05,2.40891e-05,2.40891e-05
75,59.0162,3.01842,5.66035,4.21583,0,0,0,0,3.31068,5.31985,4.17188,2.35472e-05,2.35472e-05,2.35472e-05
76,59.7593,2.99001,5.46543,4.1716,0,0,0,0,3.31068,5.31985,4.17188,2.29819e-05,2.29819e-05,2.29819e-05
77,60.4736,2.79294,5.48451,4.2258,0,0,0,0,3.31068,5.31985,4.17188,2.23929e-05,2.23929e-05,2.23929e-05
78,61.2374,3.45717,5.39838,4.21421,0,0,0,0,3.30981,5.32647,4.1764,2.17805e-05,2.17805e-05,2.17805e-05
79,61.9813,3.27245,5.46801,4.24432,0,0,0,0,3.30981,5.32647,4.1764,2.11444e-05,2.11444e-05,2.11444e-05
80,62.7312,2.9215,5.43863,4.26986,0,0,0,0,3.30981,5.32647,4.1764,2.04848e-05,2.04848e-05,2.04848e-05
81,63.529,3.65006,5.80371,4.24618,0,0,0,0,3.30299,5.33479,4.1744,1.98016e-05,1.98016e-05,1.98016e-05
82,64.2466,3.18819,5.30791,4.2046,0,0,0,0,3.30299,5.33479,4.1744,1.90949e-05,1.90949e-05,1.90949e-05
83,65.0096,2.91023,5.50452,4.21147,0,0,0,0,3.30299,5.33479,4.1744,1.83646e-05,1.83646e-05,1.83646e-05
84,65.7573,3.30503,5.26276,4.28016,0,0,0,0,3.28599,5.34754,4.17398,1.76107e-05,1.76107e-05,1.76107e-05
85,66.4612,3.06484,5.34052,4.21916,0,0,0,0,3.28599,5.34754,4.17398,1.68333e-05,1.68333e-05,1.68333e-05
86,67.1765,3.36884,5.41379,4.16497,0,0,0,0,3.28599,5.34754,4.17398,1.60323e-05,1.60323e-05,1.60323e-05
87,67.9537,3.03611,5.16341,4.1843,0,0,0,0,3.28599,5.34754,4.17398,1.52077e-05,1.52077e-05,1.52077e-05
88,70.0175,2.9947,5.33857,4.18621,0,0,0,0,3.30829,5.36549,4.17677,1.43596e-05,1.43596e-05,1.43596e-05
89,71.2103,2.83825,5.33843,4.22291,0,0,0,0,3.30829,5.36549,4.17677,1.34879e-05,1.34879e-05,1.34879e-05
90,71.9688,3.2681,5.59703,4.19893,0,0,0,0,3.30829,5.36549,4.17677,1.25927e-05,1.25927e-05,1.25927e-05
91,73.5505,2.9244,5.71357,4.21017,0,0,0,0,3.30829,5.36549,4.17677,1.16739e-05,1.16739e-05,1.16739e-05
92,74.4219,2.82579,5.55168,4.20478,0,0,0,0,3.28521,5.35182,4.16515,1.07315e-05,1.07315e-05,1.07315e-05
93,75.1737,2.81383,5.72357,4.21733,0,0,0,0,3.28521,5.35182,4.16515,9.76562e-06,9.76562e-06,9.76562e-06
94,75.9066,2.89284,5.48798,4.18924,0,0,0,0,3.28521,5.35182,4.16515,8.77613e-06,8.77613e-06,8.77613e-06
95,76.6242,2.52437,5.54269,4.18307,0,0,0,0,3.28521,5.35182,4.16515,7.76308e-06,7.76308e-06,7.76308e-06
96,77.4246,2.57436,5.58515,4.23988,0,0,0,0,3.25529,5.35988,4.15029,6.72648e-06,6.72648e-06,6.72648e-06
97,78.1718,2.66308,5.58247,4.29882,0,0,0,0,3.25529,5.35988,4.15029,5.6663e-06,5.6663e-06,5.6663e-06
98,78.8971,2.71546,5.56922,4.16804,0,0,0,0,3.25529,5.35988,4.15029,4.58257e-06,4.58257e-06,4.58257e-06
99,79.6301,2.7849,5.64963,4.22161,0,0,0,0,3.25529,5.35988,4.15029,3.47528e-06,3.47528e-06,3.47528e-06
100,80.3994,3.033,5.67492,4.20582,0,0,0,0,3.22924,5.37312,4.15993,2.34442e-06,2.34442e-06,2.34442e-06
