epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.507932,2.81874,5.1433,4.31036,0,0,0,0,3.38979,5.32388,4.17212,0,0,0
2,1.09058,3.3523,5.48754,4.18891,0,0,0,0,3.38935,5.32122,4.17282,1.17822e-06,1.17822e-06,1.17822e-06
3,1.65522,3.92414,5.58443,4.20952,0,0,0,0,3.38961,5.3238,4.1728,2.33288e-06,2.33288e-06,2.33288e-06
4,2.24773,3.44459,5.52784,4.2271,0,0,0,0,3.38819,5.3204,4.17267,3.46397e-06,3.46397e-06,3.46397e-06
5,3.05594,3.58629,5.56757,4.27845,0,0,0,0,3.38994,5.32172,4.17304,4.5715e-06,4.5715e-06,4.5715e-06
6,3.83252,3.16788,5.63032,4.20216,0,0,0,0,3.39063,5.32319,4.17316,5.65548e-06,5.65548e-06,5.65548e-06
7,4.63001,3.06742,5.70841,4.30107,0,0,0,0,3.38924,5.3181,4.17418,6.71588e-06,6.71588e-06,6.71588e-06
8,5.39666,3.11918,5.47355,4.22119,0,0,0,0,3.38885,5.32129,4.17482,7.75273e-06,7.75273e-06,7.75273e-06
9,6.18029,3.43617,5.68142,4.33516,0,0,0,0,3.38858,5.32298,4.17502,8.76602e-06,8.76602e-06,8.76602e-06
10,6.98339,3.52422,5.52622,4.28545,0,0,0,0,3.38891,5.32047,4.17556,9.75574e-06,9.75574e-06,9.75574e-06
11,7.77321,3.25335,5.51954,4.29695,0,0,0,0,3.38944,5.32359,4.17484,1.07219e-05,1.07219e-05,1.07219e-05
12,8.52448,3.04241,5.42306,4.2033,0,0,0,0,3.38973,5.32281,4.17497,1.16645e-05,1.16645e-05,1.16645e-05
13,9.29875,3.24723,5.38931,4.19496,0,0,0,0,3.3897,5.32285,4.17516,1.25835e-05,1.25835e-05,1.25835e-05
14,10.1122,3.33527,5.54588,4.22081,0,0,0,0,3.38892,5.3227,4.17538,1.3479e-05,1.3479e-05,1.3479e-05
15,10.9679,3.46639,5.37927,4.20529,0,0,0,0,3.38849,5.32125,4.17554,1.43509e-05,1.43509e-05,1.43509e-05
16,11.758,3.31473,5.60952,4.20787,0,0,0,0,3.38809,5.31959,4.1766,1.51993e-05,1.51993e-05,1.51993e-05
17,12.5606,2.93209,5.38472,4.23514,0,0,0,0,3.38693,5.31895,4.17678,1.60241e-05,1.60241e-05,1.60241e-05
18,14.1659,2.25536,5.46645,4.23998,0,0,0,0,3.38693,5.31895,4.17678,1.68253e-05,1.68253e-05,1.68253e-05
19,14.9206,2.8212,5.30507,4.20922,0,0,0,0,3.38643,5.32222,4.17724,1.7603e-05,1.7603e-05,1.7603e-05
20,15.6322,3.55682,5.84478,4.24279,0,0,0,0,3.38643,5.32222,4.17724,1.83571e-05,1.83571e-05,1.83571e-05
21,16.3899,3.2565,5.31952,4.19563,0,0,0,0,3.3855,5.31958,4.17683,1.90876e-05,1.90876e-05,1.90876e-05
22,17.1514,3.43344,5.48333,4.2406,0,0,0,0,3.3855,5.31958,4.17683,1.97946e-05,1.97946e-05,1.97946e-05
23,17.9507,3.07253,5.60602,4.21075,0,0,0,0,3.38638,5.3201,4.17752,2.0478e-05,2.0478e-05,2.0478e-05
24,18.6696,3.11146,5.51286,4.28262,0,0,0,0,3.38638,5.3201,4.17752,2.11379e-05,2.11379e-05,2.11379e-05
25,19.4504,3.16085,5.65196,4.25035,0,0,0,0,3.38468,5.31701,4.17825,2.17741e-05,2.17741e-05,2.17741e-05
26,20.1739,3.09561,5.50052,4.18777,0,0,0,0,3.38468,5.31701,4.17825,2.23869e-05,2.23869e-05,2.23869e-05
27,20.9314,3.08326,5.44653,4.21017,0,0,0,0,3.38233,5.31892,4.17784,2.2976e-05,2.2976e-05,2.2976e-05
28,21.6792,3.74898,5.56033,4.24831,0,0,0,0,3.38233,5.31892,4.17784,2.35417e-05,2.35417e-05,2.35417e-05
29,22.686,2.94872,5.47439,4.20409,0,0,0,0,3.38305,5.31873,4.17827,2.40837e-05,2.40837e-05,2.40837e-05
