epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,36.9896,3.39911,5.88645,4.46655,0,0,0,0,3.38654,5.32408,4.15727,2.96935e-05,2.96935e-05,2.96935e-05
47,37.7912,3.53332,5.6794,4.27074,0,0,0,0,3.38662,5.32239,4.15751,2.98114e-05,2.98114e-05,2.98114e-05
48,38.5359,3.07371,5.47775,4.34586,0,0,0,0,3.38662,5.32239,4.15751,2.99058e-05,2.99058e-05,2.99058e-05
49,39.4362,3.03698,5.53864,4.24179,0,0,0,0,3.38624,5.32344,4.15804,2.99766e-05,2.99766e-05,2.99766e-05
50,40.1767,2.99926,5.40993,4.20544,0,0,0,0,3.38624,5.32344,4.15804,3.00238e-05,3.00238e-05,3.00238e-05
51,41.0642,3.16917,5.73898,4.25797,0,0,0,0,3.38603,5.3234,4.15791,3.00475e-05,3.00475e-05,3.00475e-05
52,41.791,3.12686,5.38676,4.24983,0,0,0,0,3.38603,5.3234,4.15791,3.00476e-05,3.00476e-05,3.00476e-05
53,42.5475,3.36924,5.71058,4.22525,0,0,0,0,3.38603,5.3234,4.15791,3.00242e-05,3.00242e-05,3.00242e-05
54,43.2993,3.40873,5.49381,4.22303,0,0,0,0,3.38687,5.3224,4.15837,2.99772e-05,2.99772e-05,2.99772e-05
55,44.0298,3.33442,5.45769,4.18355,0,0,0,0,3.38687,5.3224,4.15837,2.99066e-05,2.99066e-05,2.99066e-05
56,44.8115,3.23449,5.5546,4.22164,0,0,0,0,3.38687,5.3224,4.15837,2.98125e-05,2.98125e-05,2.98125e-05
57,45.5454,2.97021,5.36983,4.27019,0,0,0,0,3.38745,5.32306,4.15848,2.96948e-05,2.96948e-05,2.96948e-05
58,46.3807,2.68881,5.72494,4.29855,0,0,0,0,3.38745,5.32306,4.15848,2.95535e-05,2.95535e-05,2.95535e-05
59,47.1434,3.59303,5.7099,4.34683,0,0,0,0,3.38745,5.32306,4.15848,2.93887e-05,2.93887e-05,2.93887e-05
60,47.9458,3.21279,5.49789,4.18887,0,0,0,0,3.38651,5.32123,4.15972,2.92003e-05,2.92003e-05,2.92003e-05
61,48.6676,3.11712,5.52358,4.31499,0,0,0,0,3.38651,5.32123,4.15972,2.89884e-05,2.89884e-05,2.89884e-05
62,49.4255,2.9641,5.58676,4.24098,0,0,0,0,3.38651,5.32123,4.15972,2.87529e-05,2.87529e-05,2.87529e-05
63,50.251,3.2529,5.41983,4.21672,0,0,0,0,3.38635,5.32298,4.16025,2.84938e-05,2.84938e-05,2.84938e-05
64,50.9483,3.36787,5.54738,4.22923,0,0,0,0,3.38635,5.32298,4.16025,2.82112e-05,2.82112e-05,2.82112e-05
65,51.6705,3.50983,5.61692,4.32335,0,0,0,0,3.38635,5.32298,4.16025,2.7905e-05,2.7905e-05,2.7905e-05
66,52.4405,3.34203,5.34654,4.23824,0,0,0,0,3.38556,5.32202,4.16072,2.75753e-05,2.75753e-05,2.75753e-05
67,53.1538,3.06562,5.41206,4.19893,0,0,0,0,3.38556,5.32202,4.16072,2.7222e-05,2.7222e-05,2.7222e-05
68,54.0637,3.68522,5.49841,4.22373,0,0,0,0,3.38556,5.32202,4.16072,2.68451e-05,2.68451e-05,2.68451e-05
69,54.8366,3.47049,5.66145,4.34836,0,0,0,0,3.38636,5.32454,4.16123,2.64447e-05,2.64447e-05,2.64447e-05
70,55.6316,3.16513,5.40336,4.40916,0,0,0,0,3.38636,5.32454,4.16123,2.60207e-05,2.60207e-05,2.60207e-05
71,56.3412,3.02081,5.63479,4.21592,0,0,0,0,3.38636,5.32454,4.16123,2.55731e-05,2.55731e-05,2.55731e-05
72,57.1055,3.14754,5.4778,4.25694,0,0,0,0,3.38543,5.32258,4.16203,2.5102e-05,2.5102e-05,2.5102e-05
73,57.8524,3.57268,5.42219,4.21553,0,0,0,0,3.38543,5.32258,4.16203,2.46073e-05,2.46073e-05,2.46073e-05
74,58.5613,3.7331,5.66408,4.26308,0,0,0,0,3.38543,5.32258,4.16203,2.40891e-05,2.40891e-05,2.40891e-05
75,59.3126,3.07344,5.65218,4.2982,0,0,0,0,3.39203,5.32083,4.1634,2.35472e-05,2.35472e-05,2.35472e-05
76,60.0554,3.02562,5.51238,4.24186,0,0,0,0,3.39203,5.32083,4.1634,2.29819e-05,2.29819e-05,2.29819e-05
77,60.7559,2.80073,5.51802,4.29745,0,0,0,0,3.39203,5.32083,4.1634,2.23929e-05,2.23929e-05,2.23929e-05
78,61.7398,3.42007,5.37705,4.2347,0,0,0,0,3.39202,5.32452,4.16457,2.17805e-05,2.17805e-05,2.17805e-05
